n,fib_value,recursive_us,iterative_us
1,1,0.001,0.001
2,1,0.001,0.001
3,2,0.003,0.002
4,3,0.002,0.001
5,5,0.003,0.001
6,8,0.004,0.001
7,13,0.008,0.001
8,21,0.010,0.001
9,34,0.020,0.002
10,55,0.028,0.002
11,89,0.050,0.002
12,144,0.070,0.003
13,233,0.131,0.003
14,377,0.194,0.003
15,610,0.347,0.003
16,987,0.617,0.003
17,1597,0.875,0.006
18,2584,1.725,0.003
19,4181,2.471,0.004
20,6765,4.877,0.004
21,10946,5.948,0.004
22,17711,12.421,0.004
23,28657,16.411,0.004
24,46368,31.351,0.004
25,75025,41.998,0.006
26,121393,81.183,0.005
27,196418,107.916,0.005
28,317811,207.547,0.005
29,514229,297.336,0.006
30,832040,519.324,0.006
31,1346269,771.265,0.009
32,2178309,1322.170,0.007
33,3524578,2066.382,0.007
34,5702887,3392.597,0.007
35,9227465,5563.393,0.007
36,14930352,8900.480,0.007
37,24157817,14638.600,0.008
38,39088169,22559.850,0.008
39,63245986,39424.200,0.008
40,102334155,57858.100,0.008
41,165580141,103271.300,0.009
42,267914296,151220.100,0.009
43,433494437,,0.009
44,701408733,,0.009
45,1134903170,,0.010
46,1836311903,,0.010
